,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2023-01-03,3.937,3.949,3.961,3.89,6563108,2576087718.0,1.8,0.28,0.011,0.73
1,2023-01-04,3.948,3.954,3.965,3.931,9807997,3874438389.0,0.86,0.13,0.005,1.1
2,2023-01-05,3.975,4.029,4.035,3.972,7745023,3108571448.0,1.59,1.9,0.075,0.87
3,2023-01-06,4.03,4.045,4.062,4.026,5410808,2187353311.0,0.89,0.4,0.016,0.6
4,2023-01-09,4.065,4.07,4.086,4.052,7809599,3178181433.0,0.84,0.62,0.025,0.87
5,2023-01-10,4.068,4.076,4.092,4.062,7442622,3033001135.0,0.74,0.15,0.006,0.83
6,2023-01-11,4.077,4.076,4.105,4.069,5715114,2334923330.0,0.88,0.0,0.0,0.64
7,2023-01-12,4.083,4.082,4.095,4.068,3255872,1328948654.0,0.66,0.15,0.006,0.36
8,2023-01-13,4.089,4.144,4.148,4.089,6559090,2702284069.0,1.45,1.52,0.062,0.73
9,2023-01-16,4.085,4.143,4.184,4.083,17163759,7109168359.0,2.44,-0.02,-0.001,1.92
10,2023-01-17,4.143,4.139,4.152,4.122,6015131,2488168863.0,0.72,-0.1,-0.004,0.67
11,2023-01-18,4.146,4.13,4.152,4.126,4456901,1843406132.0,0.63,-0.22,-0.009,0.5
12,2023-01-19,4.121,4.158,4.16,4.103,6074324,2513066753.0,1.38,0.68,0.028,0.68
13,2023-01-20,4.173,4.181,4.194,4.165,5700822,2382114372.0,0.7,0.55,0.023,0.64
14,2023-01-30,4.26,4.205,4.267,4.198,8013471,3386449597.0,1.65,0.57,0.024,0.9
15,2023-01-31,4.208,4.159,4.217,4.152,11392222,4761842944.0,1.55,-1.09,-0.046,1.27
16,2023-02-01,4.164,4.19,4.192,4.133,7156520,2981748341.0,1.42,0.75,0.031,0.8
17,2023-02-02,4.202,4.18,4.205,4.163,10018528,4188623374.0,1.0,-0.24,-0.01,1.12
18,2023-02-03,4.154,4.137,4.157,4.101,9600521,3961301299.0,1.34,-1.03,-0.043,1.07
19,2023-02-06,4.103,4.08,4.104,4.058,7314597,2982940562.0,1.11,-1.38,-0.057,0.82
20,2023-02-07,4.086,4.09,4.101,4.07,5539881,2263547380.0,0.76,0.25,0.01,0.62
21,2023-02-08,4.092,4.073,4.109,4.065,4628713,1889787994.0,1.08,-0.42,-0.017,0.52
22,2023-02-09,4.067,4.127,4.131,4.063,5958886,2450554135.0,1.67,1.33,0.054,0.67
23,2023-02-10,4.128,4.103,4.128,4.086,5205224,2135893097.0,1.02,-0.58,-0.024,0.58
24,2023-02-13,4.09,4.135,4.141,4.083,8280101,3415190764.0,1.41,0.78,0.032,0.93
25,2023-02-14,4.141,4.144,4.147,4.119,3326324,1374345788.0,0.68,0.22,0.009,0.37
26,2023-02-15,4.141,4.116,4.154,4.108,6455068,2658512888.0,1.11,-0.68,-0.028,0.72
27,2023-02-16,4.12,4.087,4.168,4.062,7925101,3275079466.0,2.58,-0.7,-0.029,0.89
28,2023-02-17,4.085,4.029,4.101,4.025,7433949,3025278809.0,1.86,-1.42,-0.058,0.83
29,2023-02-20,4.034,4.134,4.137,4.028,10495255,4282521265.0,2.71,2.61,0.105,1.17
30,2023-02-21,4.134,4.139,4.15,4.114,5609025,2318009475.0,0.87,0.12,0.005,0.63
31,2023-02-22,4.123,4.099,4.134,4.092,4529454,1861371777.0,1.01,-0.97,-0.04,0.51
32,2023-02-23,4.103,4.099,4.125,4.081,4655595,1908740957.0,1.07,0.0,0.0,0.52
33,2023-02-24,4.098,4.06,4.098,4.04,8087762,3282777177.0,1.41,-0.95,-0.039,0.9
34,2023-02-27,4.04,4.045,4.063,4.028,4569575,1848791379.0,0.86,-0.37,-0.015,0.51
35,2023-02-28,4.057,4.071,4.076,4.02,4845454,1963458643.0,1.38,0.64,0.026,0.54
36,2023-03-01,4.067,4.12,4.136,4.06,11804810,4856375177.0,1.87,1.2,0.049,1.32
37,2023-03-02,4.11,4.115,4.134,4.107,4391329,1808866225.0,0.66,-0.12,-0.005,0.49
38,2023-03-03,4.126,4.124,4.136,4.094,4201757,1730990673.0,1.02,0.22,0.009,0.47
39,2023-03-06,4.125,4.099,4.127,4.08,9293025,3808515076.0,1.14,-0.61,-0.025,1.04
40,2023-03-07,4.095,4.042,4.118,4.039,6746494,2756431261.0,1.93,-1.39,-0.057,0.75
41,2023-03-08,4.03,4.026,4.035,4.01,4313154,1735039806.0,0.62,-0.4,-0.016,0.48
42,2023-03-09,4.032,4.016,4.036,3.992,4079365,1639051249.0,1.09,-0.25,-0.01,0.46
43,2023-03-10,3.99,3.961,4.004,3.959,4981129,1982846713.0,1.12,-1.37,-0.055,0.56
44,2023-03-13,3.961,4.005,4.008,3.961,4674529,1865984620.0,1.19,1.11,0.044,0.52
45,2023-03-14,4.0,3.98,4.0,3.945,4635416,1842611053.0,1.37,-0.62,-0.025,0.52
46,2023-03-15,4.006,3.979,4.016,3.978,3933011,1571377024.0,0.95,-0.03,-0.001,0.44
47,2023-03-16,3.96,3.933,3.979,3.93,4331438,1713141943.0,1.23,-1.16,-0.046,0.48
48,2023-03-17,3.96,3.954,4.004,3.935,11235012,4453754362.0,1.75,0.53,0.021,1.26
49,2023-03-20,3.954,3.932,3.976,3.926,5709548,2258210593.0,1.26,-0.56,-0.022,0.64
50,2023-03-21,3.943,3.975,3.979,3.941,5567437,2206195773.0,0.97,1.09,0.043,0.62
51,2023-03-22,3.985,3.993,4.009,3.979,5817562,2323803781.0,0.75,0.45,0.018,0.65
52,2023-03-23,3.98,4.031,4.032,3.978,5344729,2143951550.0,1.35,0.95,0.038,0.6
53,2023-03-24,4.023,4.026,4.034,4.014,2548953,1025007603.0,0.5,-0.12,-0.005,0.28
54,2023-03-27,4.025,4.005,4.025,3.984,4912547,1966086521.0,1.02,-0.52,-0.021,0.55
55,2023-03-28,4.006,3.997,4.018,3.99,5072061,2029086627.0,0.7,-0.2,-0.008,0.57
56,2023-03-29,4.018,3.997,4.019,3.991,6163363,2467227537.0,0.7,0.0,0.0,0.69
57,2023-03-30,3.998,4.04,4.041,3.981,5572070,2238129589.0,1.5,1.08,0.043,0.62
58,2023-03-31,4.045,4.05,4.063,4.039,6711625,2718176592.0,0.59,0.25,0.01,0.75
59,2023-04-03,4.05,4.08,4.091,4.045,5513397,2243377317.0,1.14,0.74,0.03,0.62
